OBJECTID,lon,lat,StaType,DateModif,StnType,ZipCode,State,City,Address2,Address1,Name,Code,StationName,StationFacilityName,StationAliases,x,y
67,-78.873748,42.878449,Station Building (with waiting room),2019-02-14T07:03:18,TRAIN,14203,NY,Buffalo, ,75 Exchange Street,Exchange Street Station,BFX,"Buffalo, NY",Exchange Street Station,Exchange,-78.8737511556291,42.8784574706265
68,-85.483612,43.673347,Curbside Bus Stop only (no shelter),2018-09-27T07:04:40,BUS,49307,MI,Big Rapids, ,14219 Northland Drive, ,BGP,"Big Rapids, MI", , ,-85.4836172909893,43.6733552769187
69,-86.807023,33.512937,Station Building (with waiting room),2018-09-15T07:04:39,TRAIN,35203,AL,Birmingham, ,1801 Morris Avenue, ,BHM,"Birmingham, AL", , ,-86.8070278819844,33.5129432926766
70,-120.603551,43.814035,Curbside Bus Stop only (no shelter),2018-06-15T07:04:17,BUS,97712,OR,Brothers, ,34100 U.S. Highway 20, ,BHS,"Brothers, OR", , ,-120.603564818958,43.8140405602879
71,-71.18743,44.45904,Curbside Bus Stop only (no shelter),2018-09-27T07:04:40,BUS,03570,NH,Berlin, ,318 Glen Avenue, ,BIN,"Berlin, NH", , ,-71.1874307628331,44.459049056543
72,-78.870218,40.968716,Curbside Bus Stop only (no shelter),2018-07-20T07:04:38,BUS,15715,PA,Big Run, ,401 East Main Street, ,BIR,"Big Run, PA", , ,-78.8702210056329,40.9687241177949
73,-88.891134,30.39899,Platform only (no shelter),2025-03-21T07:06:38,TRAIN,39530,MS,Biloxi, ,890 Esters Blvd., ,BIX,"Biloxi, MS", , ,-88.8911393088938,30.3989955497035
74,-124.288311,42.054793,Station Building (with waiting room),2018-09-27T07:04:40,BUS,97415,OR,Brookings, ,Highway 101 & 5th Street, ,BKO,"Brookings, OR", , ,-124.288325082206,42.0547981004087
75,-123.114035,45.617864,Curbside Bus Stop only (no shelter),2020-07-08T14:48:43,BUS,97106,OR,Banks, ,118 Sunset Avenue, ,BKS,"Banks, OR", , ,-123.114049569728,45.6178694255868
76,-122.300707,37.867254,Platform with Shelter,2018-09-14T07:04:41,TRAIN,94710,CA,Berkeley, ,700 University Avenue, ,BKY,"Berkeley, CA", , ,-122.300720207953,37.8672589604567
